Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,50.4469985961914,50.5960006713867,50.4790000915527,50.5110015869141,50.8839988708496,50.5320014953613,50.4389991760254,50.3619995117188,50.3160018920898,50.076000213623,50.242000579834,50.798999786377,46.9580001831055,47.1370010375977,47.2949981689453,47.2120018005371,47.1220016479492,47.0480003356934,47.015998840332,47.0429992675781
Albania,ALB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,56.4410018920898,55.7130012512207,54.4150009155273,54.0670013427734,53.8030014038086,53.7980003356934,54.8790016174316,54.1339988708496,53.7060012817383,53.7309989929199,47.9889984130859,52.5029983520508,51.9930000305176,50.951000213623,49.9679985046387,49.560001373291,48.5359992980957,48.0970001220703,46.992000579834,46.2159996032715
Algeria,DZA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,33.9560012817383,33.2639999389648,33.5040016174316,33.3019981384277,32.0709991455078,31.7299995422363,33.2130012512207,32.8429985046387,32.4819984436035,30.5860004425049,31.4669990539551,31.8959999084473,32.6829986572266,35.101001739502,35.9900016784668,37.1419982910156,36.4010009765625,37.3650016784668,37.7750015258789,38.068000793457
American Samoa,ASM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,64.8570022583008,65.1320037841797,65.9739990234375,65.7379989624023,65.4670028686523,65.2919998168945,65.2289962768555,65.161003112793,65.1780014038086,65.1760025024414,65.1460037231445,64.8010025024414,64.8499984741211,64.6190032958984,64.1650009155273,63.7430000305176,63.2709999084473,63.1129989624023,63.3860015869141,63.5460014343262
Antigua and Barbuda,ATG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,54.1759986877441,53.640998840332,51.7970008850098,50.7760009765625,47.1790008544922,47.9949989318848,49.2630004882813,50.4580001831055,49.7060012817383,49.1790008544922,47.9739990234375,46.8520011901855,49.0789985656738,53.7050018310547,55.015998840332,56.2770004272461,56.3600006103516,56.1720008850098,55.935001373291,55.806999206543
Armenia,ARM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,48.6650009155273,48.8930015563965,48.2569999694824,48.5579986572266,48.1910018920898,47.7639999389648,48.2820014953613,47.6269989013672,47.617000579834,46.7410011291504,46.6539993286133,46.9099998474121,47.1380004882813,47.3950004577637,47.689998626709,48.0270004272461,48.423999786377,48.9679985046387,48.2029991149902,49.8790016174316
Aruba,ABW,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,57.2210006713867,56.2309989929199,55.867000579834,56.9500007629395,58.3769989013672,58.2480010986328,58.0499992370605,58.4290008544922,58.7820014953613,59.5060005187988,59.2690010070801,59.523998260498,59.9659996032715,60.1730003356934,61.2649993896484,61.7869987487793,62.4830017089844,62.8279991149902,61.8569984436035,62.125
Austria,AUT,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,54.1749992370605,54.7550010681152,54.5429992675781,56.5200004577637,56.4090003967285,55.2690010070801,55.3400001525879,55.0050010681152,55.6479988098145,55.568000793457,56,56.0559997558594,56.3470001220703,54.9640007019043,55.6440010070801,56.5060005187988,57.5359992980957,58.1160011291504,57.5470008850098,57.6040000915527
Azerbaijan,AZE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,58.0719985961914,59.2309989929199,60.2109985351563,60.8899993896484,61.2680015563965,61.3660011291504,59.9589996337891,59.3759994506836,60.5149993896484,56.3289985656738,56.8240013122559,57.2949981689453,57.6860008239746,58.3370018005371,58.701000213623,59.0439987182617,59.181999206543,60.3479995727539,61.0340003967285,60.8899993896484
